eigen,fileName,vif,maf,hwe,outliers,pop,genes,n_sample,status,combination_
1.022626579820809,K_C_-1_pipelineFullChrSer.pkl,1.5,0.05,0.0001,0.01,All,All,417,negative,1.5_0.05_0.0001_0.01
1.0217137434942944,K_C_-1_pipelineFullChrSer.pkl,1.5,0.05,0.0001,0.01,All,All,417,negative,1.5_0.05_0.0001_0.01
1.0210385239538553,K_C_-1_pipelineFullChrSer.pkl,1.5,0.05,0.0001,0.01,All,All,417,negative,1.5_0.05_0.0001_0.01
1.0202167318821271,K_C_-1_pipelineFullChrSer.pkl,1.5,0.05,0.0001,0.01,All,All,417,negative,1.5_0.05_0.0001_0.01
1.0193832782164387,K_C_-1_pipelineFullChrSer.pkl,1.5,0.05,0.0001,0.01,All,All,417,negative,1.5_0.05_0.0001_0.01
1.0184788042368225,K_C_-1_pipelineFullChrSer.pkl,1.5,0.05,0.0001,0.01,All,All,417,negative,1.5_0.05_0.0001_0.01
1.0186243710888505,K_C_-1_pipelineFullChrSer.pkl,1.5,0.05,0.0001,0.01,All,All,417,negative,1.5_0.05_0.0001_0.01
0.8357409186476704,K_C_-1_pipelineFullChrSer.pkl,1.5,0.05,0.0001,0.01,All,All,417,negative,1.5_0.05_0.0001_0.01
0.8355694133137617,K_C_-1_pipelineFullChrSer.pkl,1.5,0.05,0.0001,0.01,All,All,417,negative,1.5_0.05_0.0001_0.01
0.8373709271137284,K_C_-1_pipelineFullChrSer.pkl,1.5,0.05,0.0001,0.01,All,All,417,negative,1.5_0.05_0.0001_0.01
0.8378273374891662,K_C_-1_pipelineFullChrSer.pkl,1.5,0.05,0.0001,0.01,All,All,417,negative,1.5_0.05_0.0001_0.01
0.8391823297713238,K_C_-1_pipelineFullChrSer.pkl,1.5,0.05,0.0001,0.01,All,All,417,negative,1.5_0.05_0.0001_0.01
0.8388317165711912,K_C_-1_pipelineFullChrSer.pkl,1.5,0.05,0.0001,0.01,All,All,417,negative,1.5_0.05_0.0001_0.01
0.8400204430966691,K_C_-1_pipelineFullChrSer.pkl,1.5,0.05,0.0001,0.01,All,All,417,negative,1.5_0.05_0.0001_0.01
0.8422767946428622,K_C_-1_pipelineFullChrSer.pkl,1.5,0.05,0.0001,0.01,All,All,417,negative,1.5_0.05_0.0001_0.01
0.8407984324460985,K_C_-1_pipelineFullChrSer.pkl,1.5,0.05,0.0001,0.01,All,All,417,negative,1.5_0.05_0.0001_0.01
0.8408423218367448,K_C_-1_pipelineFullChrSer.pkl,1.5,0.05,0.0001,0.01,All,All,417,negative,1.5_0.05_0.0001_0.01
1.0169008660701147,K_C_-1_pipelineFullChrSer.pkl,1.5,0.05,0.0001,0.01,All,All,417,negative,1.5_0.05_0.0001_0.01
1.016190772681623,K_C_-1_pipelineFullChrSer.pkl,1.5,0.05,0.0001,0.01,All,All,417,negative,1.5_0.05_0.0001_0.01
1.0155748881836242,K_C_-1_pipelineFullChrSer.pkl,1.5,0.05,0.0001,0.01,All,All,417,negative,1.5_0.05_0.0001_0.01
1.009972095550171,K_C_-1_pipelineFullChrSer.pkl,1.5,0.05,0.0001,0.01,All,All,417,negative,1.5_0.05_0.0001_0.01
1.0106670284618124,K_C_-1_pipelineFullChrSer.pkl,1.5,0.05,0.0001,0.01,All,All,417,negative,1.5_0.05_0.0001_0.01
1.0114868722089847,K_C_-1_pipelineFullChrSer.pkl,1.5,0.05,0.0001,0.01,All,All,417,negative,1.5_0.05_0.0001_0.01
1.0146397711757664,K_C_-1_pipelineFullChrSer.pkl,1.5,0.05,0.0001,0.01,All,All,417,negative,1.5_0.05_0.0001_0.01
1.0140849075037146,K_C_-1_pipelineFullChrSer.pkl,1.5,0.05,0.0001,0.01,All,All,417,negative,1.5_0.05_0.0001_0.01
1.013129018907637,K_C_-1_pipelineFullChrSer.pkl,1.5,0.05,0.0001,0.01,All,All,417,negative,1.5_0.05_0.0001_0.01
1.0135343985541239,K_C_-1_pipelineFullChrSer.pkl,1.5,0.05,0.0001,0.01,All,All,417,negative,1.5_0.05_0.0001_0.01
0.8430322984436776,K_C_-1_pipelineFullChrSer.pkl,1.5,0.05,0.0001,0.01,All,All,417,negative,1.5_0.05_0.0001_0.01
0.8438291030250873,K_C_-1_pipelineFullChrSer.pkl,1.5,0.05,0.0001,0.01,All,All,417,negative,1.5_0.05_0.0001_0.01
0.8446700611389922,K_C_-1_pipelineFullChrSer.pkl,1.5,0.05,0.0001,0.01,All,All,417,negative,1.5_0.05_0.0001_0.01
0.8451012933644939,K_C_-1_pipelineFullChrSer.pkl,1.5,0.05,0.0001,0.01,All,All,417,negative,1.5_0.05_0.0001_0.01
0.8462414918665847,K_C_-1_pipelineFullChrSer.pkl,1.5,0.05,0.0001,0.01,All,All,417,negative,1.5_0.05_0.0001_0.01
0.8467296777936041,K_C_-1_pipelineFullChrSer.pkl,1.5,0.05,0.0001,0.01,All,All,417,negative,1.5_0.05_0.0001_0.01
1.0094477515806541,K_C_-1_pipelineFullChrSer.pkl,1.5,0.05,0.0001,0.01,All,All,417,negative,1.5_0.05_0.0001_0.01
1.0089795082875783,K_C_-1_pipelineFullChrSer.pkl,1.5,0.05,0.0001,0.01,All,All,417,negative,1.5_0.05_0.0001_0.01
1.0085227147400873,K_C_-1_pipelineFullChrSer.pkl,1.5,0.05,0.0001,0.01,All,All,417,negative,1.5_0.05_0.0001_0.01
1.0075350497027749,K_C_-1_pipelineFullChrSer.pkl,1.5,0.05,0.0001,0.01,All,All,417,negative,1.5_0.05_0.0001_0.01
1.0070128655836839,K_C_-1_pipelineFullChrSer.pkl,1.5,0.05,0.0001,0.01,All,All,417,negative,1.5_0.05_0.0001_0.01
1.0043960691304312,K_C_-1_pipelineFullChrSer.pkl,1.5,0.05,0.0001,0.01,All,All,417,negative,1.5_0.05_0.0001_0.01
1.006110593069878,K_C_-1_pipelineFullChrSer.pkl,1.5,0.05,0.0001,0.01,All,All,417,negative,1.5_0.05_0.0001_0.01
1.0052537496223375,K_C_-1_pipelineFullChrSer.pkl,1.5,0.05,0.0001,0.01,All,All,417,negative,1.5_0.05_0.0001_0.01
1.0056070065447464,K_C_-1_pipelineFullChrSer.pkl,1.5,0.05,0.0001,0.01,All,All,417,negative,1.5_0.05_0.0001_0.01
0.847630887446196,K_C_-1_pipelineFullChrSer.pkl,1.5,0.05,0.0001,0.01,All,All,417,negative,1.5_0.05_0.0001_0.01
0.8481721340569064,K_C_-1_pipelineFullChrSer.pkl,1.5,0.05,0.0001,0.01,All,All,417,negative,1.5_0.05_0.0001_0.01
0.8501127397583184,K_C_-1_pipelineFullChrSer.pkl,1.5,0.05,0.0001,0.01,All,All,417,negative,1.5_0.05_0.0001_0.01
0.8486778742084468,K_C_-1_pipelineFullChrSer.pkl,1.5,0.05,0.0001,0.01,All,All,417,negative,1.5_0.05_0.0001_0.01
0.8493997048727739,K_C_-1_pipelineFullChrSer.pkl,1.5,0.05,0.0001,0.01,All,All,417,negative,1.5_0.05_0.0001_0.01
0.8490248654623107,K_C_-1_pipelineFullChrSer.pkl,1.5,0.05,0.0001,0.01,All,All,417,negative,1.5_0.05_0.0001_0.01
1.004006628568536,K_C_-1_pipelineFullChrSer.pkl,1.5,0.05,0.0001,0.01,All,All,417,negative,1.5_0.05_0.0001_0.01
1.0032352033350782,K_C_-1_pipelineFullChrSer.pkl,1.5,0.05,0.0001,0.01,All,All,417,negative,1.5_0.05_0.0001_0.01
1.0025136291796977,K_C_-1_pipelineFullChrSer.pkl,1.5,0.05,0.0001,0.01,All,All,417,negative,1.5_0.05_0.0001_0.01
1.0019108197808093,K_C_-1_pipelineFullChrSer.pkl,1.5,0.05,0.0001,0.01,All,All,417,negative,1.5_0.05_0.0001_0.01
0.9999720188838538,K_C_-1_pipelineFullChrSer.pkl,1.5,0.05,0.0001,0.01,All,All,417,negative,1.5_0.05_0.0001_0.01
1.0011107546145892,K_C_-1_pipelineFullChrSer.pkl,1.5,0.05,0.0001,0.01,All,All,417,negative,1.5_0.05_0.0001_0.01
1.0006025150852598,K_C_-1_pipelineFullChrSer.pkl,1.5,0.05,0.0001,0.01,All,All,417,negative,1.5_0.05_0.0001_0.01
0.8507508779214961,K_C_-1_pipelineFullChrSer.pkl,1.5,0.05,0.0001,0.01,All,All,417,negative,1.5_0.05_0.0001_0.01
0.8514980048036486,K_C_-1_pipelineFullChrSer.pkl,1.5,0.05,0.0001,0.01,All,All,417,negative,1.5_0.05_0.0001_0.01
