Case|comparison_pops_|label_|count|mean|std|min|25%|50%|75%|max
Different|FIN - TSI|eur_multivar_out|8004,0|-0,012217522088253803|0,003282523338264835|-0,02331040522031125|-0,014446740079490948|-0,012308912241587127|-0,010061900989464552|0,0005109166761086871
Different|FIN - TSI|eur_orig|8372,0|-0,0118862984111914|0,0032686863252292843|-0,022176655111806182|-0,014108641595896386|-0,012001678458663637|-0,009746084037890847|0,0014484892500870776
Different|FIN - TSI|eur_univar_out|8188,0|-0,011906926842912903|0,0032608179398655366|-0,022504479214892452|-0,014116215049592129|-0,01200175223711609|-0,009783214087679582|0,0011641878721650816
Different|FIN - YRI|all_multivar_out|6992,0|-0,06919958046378033|0,002128449434076764|-0,0766505699645219|-0,07056587950213777|-0,0692420541477998|-0,0679218909732619|-0,05714944021750188
Different|FIN - YRI|all_orig|8004,0|-0,0722219539384955|0,0020943870991938173|-0,07996967958066291|-0,0735671707120434|-0,072272436139307|-0,07097218804593719|-0,06095138075610668
Different|FIN - YRI|all_univar_out|7728,0|-0,07121519489001403|0,0021075470482347968|-0,07948060571443218|-0,07257126730127918|-0,07128209515986406|-0,06995550363945827|-0,05991758989365489
Different|GBR - TSI|all_multivar_out|7308,0|0,010701965529739598|0,0030675907828582316|-0,00106718608746396|0,008633579098038722|0,01062009038864116|0,012745385038099532|0,023422942583465355
Different|GBR - TSI|all_orig|7826,0|0,01285169545459116|0,00306369045740883|0,0012555106225863321|0,01079079635408487|0,012790568553928825|0,014869546781859944|0,026414639706107104
Different|GBR - TSI|all_univar_out|7565,0|0,012213130886077042|0,0030646430797703797|0,0007311007678016657|0,010138458647004267|0,012141746208045366|0,014246879568491126|0,025054390781818606
Different|GBR - TSI|eur_multivar_out|7308,0|-0,0037484024626427926|0,0031902652495299747|-0,01594169078030538|-0,005906513149255161|-0,003785296973725946|-0,00163873376058427|0,00950136119442137
Different|GBR - TSI|eur_orig|7826,0|-0,0037702967302314996|0,003188949641077975|-0,014569770257547831|-0,005886582172452123|-0,0038135607865427035|-0,001658903249084842|0,00915550653953851
Different|GBR - TSI|eur_univar_out|7565,0|-0,0037484310535911246|0,0031857146141498903|-0,01536931805783202|-0,00591382326443574|-0,0037991483557234013|-0,0016171900366865454|0,008473905816306996
Different|GBR - YRI|all_multivar_out|6384,0|-0,06968504730255747|0,0023903736567794306|-0,07711325489174432|-0,07127904969091124|-0,06977764043191137|-0,06818786884235681|-0,06057544244131511
Different|GBR - YRI|all_orig|7482,0|-0,07299242018025545|0,002255429067664448|-0,08079571234579354|-0,07450886705103497|-0,07306030253347472|-0,07156282915907264|-0,0646671422009801
Different|GBR - YRI|all_univar_out|7140,0|-0,07193219600409546|0,002279987101525221|-0,07923865988087064|-0,0734622969651244|-0,07199663909385828|-0,07049959665974458|-0,06326647784743797
